"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding"
"348",1067700000,1180100000,1067700000,1478600000,628700000,1645300000,7.38e+08,7.38e+08,23500000,0.1905,19.8875,46.9298
"349",324336000,311038000,323884000,504924000,217785000,1340939000,237927000,237927000,28767000,-0.2,29.0304,83.1262
"350",1941832000,1803559000,847002000,2889046000,-1376657000,2046761000,1643426000,1822960000,76093000,0.0909,98.9813,0
"351",1.1021e+10,9.478e+09,1.1377e+10,1.201e+10,8.042e+09,1.8867e+10,7.911e+09,8.286e+09,0,0.064,9.4562,16.2968
"352",6.383e+09,7.84e+09,6.836e+09,7.512e+09,7.84e+09,1.7132e+10,5.061e+09,5.346e+09,0,0.3077,0,0
"353",438100000,439100000,436700000,522700000,391100000,1047700000,347400000,347400000,20900000,14.9659,46.6052,60.0968
"354",863234000,1254801000,773687000,1512529000,113456000,1365538000,511047000,530540000,0,0.0609,35.5988,39.6507
"355",1.812e+09,1.467e+09,1.674e+09,2.309e+09,1.083e+09,6.373e+09,1.341e+09,1.358e+09,3.7e+07,0.0941,86.015,67.5442
"356",3.248e+09,2.821e+09,2.852e+09,4.42e+09,-4.17e+08,2.852e+09,1.827e+09,1.827e+09,2.6e+07,0.038,46.3693,54.3398
"357",418600000,5.93e+08,236500000,842200000,490400000,1831500000,1.31e+08,1.31e+08,37700000,0.1875,36.6335,82.7782
"358",4.896e+09,2.1664e+10,4.834e+09,5.057e+09,2.1664e+10,1.9056e+10,4.074e+09,4.088e+09,0,0.2,0,0
"359",1743573000,2061503000,1412192000,2227219000,1582634000,2014558000,1488900000,1717223000,69936000,0,0,0
"360",7.671e+09,7.573e+09,7.941e+09,9.027e+09,4.934e+09,1.0982e+10,5.595e+09,5.873e+09,0,0.1355,21.0467,19.7269
"361",640400000,644200000,646200000,965300000,289500000,4894400000,537800000,536100000,44900000,0.0133,36.4312,28.5128
"362",491950000,358789000,529021000,738463000,82526000,1479964000,293346000,296007000,52484000,0,42.9489,76.9355
"363",1.38e+09,3.242e+09,1.377e+09,2.914e+09,-5.41e+08,4.346e+09,9.78e+08,9.75e+08,8.5e+07,3,62.9591,31.5571
"364",2.376e+09,5.483e+09,2.194e+09,3.152e+09,4.663e+09,7.114e+09,2.057e+09,2.057e+09,8.53e+08,0,515.9986,481.32
"365",1.16e+09,3.908e+09,6.21e+08,2.721e+09,3.124e+09,1.2367e+10,-4.964e+09,-4.964e+09,8.83e+08,0.0818,29.4602,46.8781
"366",76693000,852520000,69676000,790908000,582685000,1146966000,-40288000,-40288000,68158000,0,26.1693,47.9646
"367",2144714000,3479139000,1894801000,3178411000,-180889000,4231642000,1811042000,1815792000,46061000,0.2037,18.7698,12.476
"368",-195440000,610069000,-195440000,-195440000,610069000,206773000,103552000,103552000,32369000,0.0495,10.8076,213.4512
"369",397583000,610327000,380169000,757271000,634581000,815085000,249127000,252325000,12550000,0.0571,73.1993,56.1217
"370",2581700000,2195100000,2534400000,2729900000,1.812e+09,6276700000,2444400000,2444400000,427400000,0,11.8679,122.0075
"371",2.082e+09,2.275e+09,1.955e+09,2.544e+09,2.124e+09,5.525e+09,1.695e+09,1.759e+09,0,0.4603,0,0
"372",591602000,572322000,587220000,657551000,529838000,2410014000,434288000,434288000,44953000,0.1667,10.5739,49.993
"373",1310655000,1903327000,1304877000,1409390000,1769741000,7181930000,856695000,850917000,99486000,0.25,315.6103,210.34
"374",507400000,975100000,498200000,802600000,813500000,3751700000,162800000,162800000,74500000,0,9.7769,24.8793
"375",549667000,505026000,541831000,669627000,442445000,1362164000,315588000,315588000,48412000,0.0606,14.462,75.4396
"376",1403800000,1.3e+09,1.297e+09,1568400000,1.175e+09,2884900000,535500000,535500000,38500000,0.1546,39.0626,65.1645
"377",1380500000,1430100000,1396400000,1.43e+09,1371500000,3279500000,944400000,944400000,133800000,0.1779,11.6225,61.1849
"378",2048396000,1681338000,2048396000,2361559000,1325896000,4092094000,1362753000,1362753000,87417000,0.1852,27.3683,2.269
"379",-1566761000,990690000,-1566761000,-908680000,-32306000,1483102000,-1746481000,-1746481000,29757000,0,25.2786,54.5639
"380",1.704e+09,2242800000,1739200000,2818100000,1202600000,3890900000,1036900000,1037600000,3.9e+07,-0.1403,27.6815,40.0846
"381",3.357e+09,3.428e+09,4.538e+09,3.925e+09,2.609e+09,7.485e+09,2.909e+09,2.882e+09,1.65e+08,0.7832,26.4935,22.2308
"382",430541000,850618000,544166000,1102654000,700806000,1396900000,47451000,47451000,42327000,0,6.7119,26.3759
"383",5950600000,11937800000,3582100000,7256500000,9961400000,16788800000,4518300000,4.518e+09,250300000,0.26,17.4132,10.2341
"384",4.562e+09,1.2456e+10,4.562e+09,4.868e+09,1.1886e+10,1.0132e+10,3.329e+09,3.507e+09,1.97e+08,0.4375,1244.8978,799.8875
"385",678500000,4.28e+08,656300000,809700000,259400000,1502100000,193100000,193100000,50800000,0,58.9991,42.7801
"386",1726384000,1943700000,1877548000,2322665000,1692743000,7418562000,1108746000,1108746000,82588000,0.0118,37.457,42.0229
"387",579900000,1940500000,579900000,783300000,1703100000,2.19e+09,486400000,519300000,16100000,0.1923,13.8342,45.5126
"388",1035100000,1.218e+09,1.044e+09,1448200000,909500000,2836100000,1338600000,1338600000,15400000,0.0582,25.4063,19.1304
"389",3.16e+09,5.713e+09,2.835e+09,6.716e+09,3.453e+09,4.337e+09,2.138e+09,2.177e+09,3.45e+08,0,113.71,87.6601
"390",455931000,441537000,374735000,747846000,126591000,778729000,232312000,270856000,0,0.0478,67.6506,120.6188
"391",944700000,764500000,9.54e+08,1038800000,674300000,2.144e+09,6.84e+08,696200000,27200000,0.1559,18.0258,117.3919
"392",363543000,424232000,360225000,572750000,323968000,2385160000,432518000,432518000,140032000,0,67.6338,64.8143
"393",4.533e+09,6.945e+09,3.9e+09,8.082e+09,-1.006e+09,8.338e+09,2.226e+09,2.3e+09,1.25e+08,0.0348,53.379,61.2709
"394",3292879000,3750796000,2923718000,4642655000,2968887000,4649955000,2436721000,2822343000,0,0.1049,84.9525,49.2747
"395",2.652e+09,2.064e+09,2.79e+09,2.858e+09,1.951e+09,4.557e+09,1.958e+09,2.121e+09,9.4e+07,0.2195,12.3066,84.5134
"396",-167900000,165700000,-161100000,8.8e+07,34900000,1.376e+09,-253300000,-245600000,24100000,0,23.643,62.7826
"397",2.071e+09,3.447e+09,1.795e+09,3.62e+09,-3.37e+08,4.414e+09,9.24e+08,1.126e+09,8.3e+07,0.0888,56.9971,69.2085
"398",3.323e+09,2.569e+09,3.332e+09,4.039e+09,2.224e+09,9.005e+09,2.668e+09,2.784e+09,1.4e+08,0.3636,0,0
"399",2.81e+09,1.0457e+10,3.014e+09,3.787e+09,9.848e+09,1.1982e+10,2.41e+09,2.599e+09,0,0.1125,0,97.5709
"400",1.654e+09,2.113e+09,1.634e+09,2.252e+09,1.747e+09,3.364e+09,1.182e+09,1.182e+09,1.12e+08,0,56.3948,38.6409
"401",2658100000,1931400000,2279800000,2951900000,873800000,3812500000,2303400000,2315300000,60900000,0.3,28.5151,37.3749
"402",1299400000,1260900000,1519100000,1805900000,768800000,4851100000,605200000,605800000,76500000,0.0661,58.296,41.9704
"403",1332100000,1260600000,1319300000,1631300000,838300000,1950700000,918400000,918400000,107800000,0.1552,21.6943,61.8839
"404",3.644e+09,9.342e+09,3.644e+09,3.946e+09,9.342e+09,7.739e+09,2.79e+09,2.79e+09,0,0.2857,0,0
"405",2.356e+09,2.61e+09,2.537e+09,2.662e+09,2.038e+09,8.938e+09,3.553e+09,3.553e+09,1.19e+08,0.106,17.3362,62.5822
"406",2351707000,2155380000,2314056000,3117205000,1489820000,11085391000,1430766000,1430766000,93841000,0.4227,25.7089,25.3189
"407",3.2247e+10,4.3602e+10,2.6096e+10,6.0677e+10,2.2844e+10,9.1337e+10,1.937e+10,1.9953e+10,0,0.0204,92.3081,56.5853
"408",1647900000,2331300000,1631800000,2505400000,1712100000,4184800000,1116500000,1134600000,42600000,0,91.7245,29.5197
"409",1644091000,1022173000,1655380000,1773935000,948832000,2177510000,900914000,957062000,58481000,-1,16.6263,67.4533
