S&P 500 Companies,Ticker,Sector,Market Cap ($B),PE Ratio (TTM), # Employees,SEC filings
McCormick & Co.,MKC,Consumer Non-Durables,26.21,34.4,12400,reports
FirstEnergy Corp,FE,Utilities,18.05,34.8,12316,reports
PPL Corp.,PPL,Utilities,22.04,12.4,12280,reports
The Cooper Companies,COO,Health Technology,19.01,63.2,12000,reports
Broadridge Financial Solutions,BR,Commercial Services,16.83,36.6,12000,reports
Gilead Sciences,GILD,Health Technology,76.21,,11800,reports
AFLAC Inc,AFL,Finance,26.98,9.4,11729,reports
Western Union Co,WU,Finance,9.03,15.3,11500,reports
Advanced Micro Devices Inc,AMD,Electronic Technology,96.23,155.5,11400,reports
Lincoln National,LNC,Finance,7.16,32.7,11357,reports
Lam Research,LRCX,Electronic Technology,51.35,20.3,11300,reports
Xcel Energy Inc,XEL,Utilities,37.55,26.7,11273,reports
Equifax Inc.,EFX,Commercial Services,18.61,43.3,11200,reports
Perrigo,PRGO,Health Technology,6.23,26,11200,reports
Kinder Morgan,KMI,Industrial Services,28.93,261.8,11086,reports
Moody’s Corp,MCO,Commercial Services,51.03,29.9,11000,reports
Allegion,ALLE,Producer Manufacturing,9.47,31.4,11000,reports
NetApp,NTAP,Electronic Technology,10.41,13.5,10800,reports
DTE Energy Co.,DTE,Utilities,24.11,19.4,10700,reports
Intuit Inc.,INTU,Technology Services,87.55,48,10600,reports
Zoetis Inc.,ZTS,Health Technology,77.68,48.2,10600,reports
KLA Corporation,KLAC,Electronic Technology,31.51,26.4,10600,reports
Live Nation Entertainment,LYV,Consumer Services,12.42,,10500,reports
ConocoPhillips,COP,Energy Minerals,34.75,15.7,10400,reports
ServiceNow,NOW,Technology Services,98.59,137.7,10371,reports
Unum Group,UNM,Finance,4.08,4.2,10300,reports
Valero Energy,VLO,Energy Minerals,17.11,,10222,reports
ZIONS BANCORPORATION,ZION,Finance,5.44,13.7,10188,reports
Lennar Corp.,LEN,Consumer Durables,24.48,10.7,10106,reports
Autodesk Inc.,ADSK,Technology Services,55.79,154.6,10100,reports
Varian Medical Systems,VAR,Health Technology,15.73,55.8,10062,reports
CDW,CDW,Technology Services,18.55,25.3,9900,reports
Electronic Arts,EA,Consumer Durables,36.61,18.8,9800,reports
Franklin Resources,BEN,Finance,11.5,11.3,9600,reports
Pentair plc,PNR,Producer Manufacturing,8.65,24.6,9500,reports
Juniper Networks,JNPR,Technology Services,7.39,21.8,9419,reports
Weyerhaeuser,WY,Finance,21.72,70.8,9400,reports
Ameren Corp,AEE,Utilities,20.6,24.3,9323,reports
Verisk Analytics,VRSK,Finance,30.73,60.3,9300,reports
Activision Blizzard,ATVI,Consumer Durables,62.55,34.5,9200,reports
IDEXX Laboratories,IDXX,Health Technology,36.54,80,9200,reports
"Discovery, Inc. (Class A)",DISCA,Consumer Services,10.7,10.8,9200,reports
"Discovery, Inc. (Class C)",DISCK,Consumer Services,9.69,9.7,9200,reports
Constellation Brands,STZ,Consumer Non-Durables,34.36,36,9000,reports
Skyworks Solutions,SWKS,Electronic Technology,25.02,32.9,9000,reports
Fox Corporation (Class A),FOXA,Consumer Services,16.17,17,9000,reports
Fox Corporation (Class B),FOX,Consumer Services,16.09,17,9000,reports
D. R. Horton,DHI,Consumer Durables,26.57,12.8,8916,reports
Martin Marietta Materials,MLM,Non-Energy Minerals,16.34,26,8846,reports
Invesco Ltd.,IVZ,Finance,6.42,13.8,8821,reports
The Clorox Company,CLX,Consumer Non-Durables,26.61,28.5,8800,reports
CMS Energy,CMS,Utilities,18.85,24.9,8789,reports
Vulcan Materials,VMC,Non-Energy Minerals,19.26,30.8,8767,reports
FleetCor Technologies Inc,FLT,Commercial Services,21.79,29.9,8700,reports
Netflix Inc.,NFLX,Consumer Services,215.34,78.4,8600,reports
ALLIANCE DATA SYSTEMS CORP,ADS,Technology Services,2.32,,8500,reports
Citrix Systems,CTXS,Technology Services,15.16,21.4,8400,reports
Equinix,EQIX,Finance,68.86,134.9,8378,reports
NiSource Inc.,NI,Utilities,9.31,,8363,reports
Eversource Energy,ES,Utilities,31.52,26.6,8234,reports
ZEBRA TECHNOLOGIES CORP,ZBRA,Electronic Technology,16.2,33.1,8200,reports
Regeneron Pharmaceuticals,REGN,Health Technology,61.69,22.3,8100,reports
Cadence Design Systems,CDNS,Technology Services,31.25,28.4,8100,reports
Comerica Inc.,CMA,Finance,6.45,12.3,7948,reports
Qorvo,QRVO,Electronic Technology,15.5,40.7,7900,reports
ResMed,RMD,Health Technology,26.52,42.8,7770,reports
"Helmerich & Payne, Inc.",HP,Industrial Services,0,,7767,reports
Akamai Technologies Inc,AKAM,Technology Services,17.37,32.7,7724,reports
Celanese,CE,Process Industries,14.22,22.7,7714,reports
Illumina Inc,ILMN,Health Technology,47.35,69.6,7700,reports
Lamb Weston Holdings Inc,LW,Consumer Non-Durables,10.55,31.6,7700,reports
Copart Inc,CPRT,Commercial Services,26.97,38.9,7600,reports
WEC Energy Group,WEC,Utilities,32.22,27.5,7509,reports
Waters Corporation,WAT,Health Technology,13.74,27.7,7500,reports
W. R. Berkley Corporation,WRB,Finance,11.7,37,7493,reports
IDEX Corporation,IEX,Producer Manufacturing,14.47,38.5,7439,reports
Biogen Inc.,BIIB,Health Technology,40.78,8.8,7400,reports
T. Rowe Price Group,TROW,Finance,33.62,17.4,7365,reports
Intuitive Surgical Inc.,ISRG,Health Technology,86.46,83.5,7326,reports
Altria Group Inc,MO,Consumer Non-Durables,72.63,,7300,reports
JM Smucker,SJM,Consumer Non-Durables,13.18,15.3,7300,reports
Public Service Enterprise Group (PSEG),PEG,Utilities,30.81,17.7,7130,reports
Maxim Integrated Products Inc,MXIM,Electronic Technology,19.49,30.5,7115,reports
Fortinet,FTNT,Electronic Technology,21.1,53.7,7082,reports
Kansas City Southern,KSU,Transportation,17.27,30.2,7040,reports
American Water Works Company Inc,AWK,Utilities,27.92,43.6,6800,reports
